2019-05-24 12:37:22.450 INFO  Connected @ 2019-05-24T12:37:22.449Z 
2019-05-24 12:37:30.992 INFO  Command beep executed by Cake_of_Cheese 
2019-05-24 12:37:37.060 INFO  Command user-info executed by Cake_of_Cheese 
2019-05-24 12:37:42.561 INFO  Command ping executed by Cake_of_Cheese 
2019-05-24 12:37:46.419 INFO  Command kick executed by Cake_of_Cheese 
2019-05-24 12:42:00.662 INFO  Connected @ 2019-05-24T12:42:00.662Z 
2019-05-24 12:42:08.956 INFO  Command beep executed by Cake_of_Cheese 
2019-05-24 12:42:11.419 INFO  Command ping executed by Cake_of_Cheese 
2019-05-24 12:42:52.927 INFO  Connected @ 2019-05-24T12:42:52.926Z 
2019-05-24 12:44:17.115 INFO  Connected @ 2019-05-24T12:44:17.115Z 
2019-05-24 12:45:02.844 INFO  Connected @ 2019-05-24T12:45:02.844Z 
2019-05-24 12:45:10.484 INFO  Command user-info executed by Cake_of_Cheese 
2019-05-24 12:53:29.672 INFO  Connected @ 2019-05-24T12:53:29.672Z 
2019-05-24 12:53:37.556 INFO  Command user-info executed by Cake_of_Cheese 
2019-05-24 12:53:43.569 INFO  Command ping executed by Cake_of_Cheese 
2019-05-24 12:53:48.213 INFO  Command help executed by Cake_of_Cheese 
2019-05-24 12:54:05.922 INFO  Connected @ 2019-05-24T12:54:05.921Z 
2019-05-24 12:54:20.236 INFO  Command beep executed by Cake_of_Cheese 
2019-05-24 15:03:34.205 INFO  Command ping executed by Cake_of_Cheese 
2019-05-27 11:20:30.669 INFO  Command ping executed by Cake_of_Cheese 
2019-05-27 11:57:28.083 INFO  Connected @ 2019-05-27T11:57:28.083Z 
2019-05-27 11:57:53.811 INFO  Command ping executed by Cake_of_Cheese 
2019-05-27 11:57:58.775 INFO  Command beep executed by Cake_of_Cheese 
2019-05-27 11:58:04.863 INFO  Command user-info executed by Cake_of_Cheese 
2019-05-27 11:58:09.143 INFO  Command catz executed by Cake_of_Cheese 
2019-05-27 11:58:10.648 INFO  Connected @ 2019-05-27T11:58:10.648Z 
2019-05-27 11:58:24.571 INFO  Command prune executed by Cake_of_Cheese 
2019-05-27 12:09:25.594 INFO  Connected @ 2019-05-27T12:09:25.594Z 
2019-05-27 12:09:39.062 INFO  Command catz executed by Cake_of_Cheese 
